lalka_1_01_f000001|Jak wygląda firma J. Mincel i S. Wokulski przez szkło butelek?|Jak wygląda firma J. Mincel i S. Wokulski przez szkło butelek?
lalka_2_16_f000076|Dobrze.|Dobrze.
lalka_2_16_f000077|A teraz przejedziesz się po mieście?|A teraz przejedziesz się po mieście?
lalka_2_16_f000078|Nie. Teraz pójdę spać.|Nie. Teraz pójdę spać.
lalka_2_16_f000079|No, to i dobrze. Chodźże do twego mieszkania.|No to i dobrze. Chodźże do twego mieszkania.
lalka_2_16_f000080|Opuścili numer Suzina i o kilkanaście kroków dalej weszli do podobnego zupełnie saloniku; Wokulski rzucił się na łóżko, Suzin wyszedł na palcach i zamknął drzwi.|Opuścili numer Suzina i o kilkanaście kroków dalej weszli do podobnego zupełnie saloniku; Wokulski rzucił się na łóżko Suzin wyszedł na palcach i zamknął drzwi.
lalka_2_16_f000081|Po odejściu Suzina, Wokulski przymknął oczy i usiłował zasnąć.|Po odejściu Suzina Wokulski przymknął oczy i usiłował zasnąć.
lalka_2_16_f000082|Może nietyle zasnąć, ile odpędzić od siebie jakąś myśl natrętną, przed którą uciekł z Warszawy.|Może nietyle zasnąć ile odpędzić od siebie jakąś myśl natrętną przed którą uciekł z Warszawy.
lalka_2_16_f000083|Przez pewien czas zdawało mu się, że jej niema, że została tam i że dopiero szuka go stroskana, tułając się od Krakowskiego-Przedmieścia do alei Ujazdowskiej.|Przez pewien czas zdawało mu się że jej niema że została tam i że dopiero szuka go stroskana tułając się od Krakowskiego-Przedmieścia do alei Ujazdowskiej.
lalka_2_16_f000084|Gdzie on jest? Gdzie on jest?|Gdzie on jest? Gdzie on jest?
lalka_2_16_f000085|- szeptało widmo.|- szeptało widmo.
lalka_2_16_f000086|A jeżeli poleci za mną? - spytał samego siebie Wokulski. - No, już chyba tu mnie nie znajdzie, w tak wielkiem mieście, w takim ogromnym hotelu.|A jeżeli poleci za mną? - spytał samego siebie Wokulski. - No już chyba tu mnie nie znajdzie w tak wielkiem mieście w takim ogromnym hotelu.
lalka_2_16_f000087|A może mnie już szuka?|A może mnie już szuka?
lalka_2_16_f000088|- pomyślał.|- pomyślał.
lalka_2_16_f000089|Zamknął oczy jeszcze mocniej i począł huśtać się na materacu, który wydał mu się nadzwyczajnie szerokim i wyjątkowo sprężystym.|Zamknął oczy jeszcze mocniej i począł huśtać się na materacu który wydał mu się nadzwyczajnie szerokim i wyjątkowo sprężystym.
lalka_2_16_f000090|Był pogrążony w dwu szmerach. Za drzwiami, na hotelowym kurytarzu, ludzie rozmawiali i biegali, jakby w tej chwili stało się coś;|Był pogrążony w dwu szmerach. Za drzwiami na hotelowym kurytarzu ludzie rozmawiali i biegali jakby w tej chwili stało się coś;
lalka_2_16_f000091|za oknem, na ulicy rozlegał się nieokreślony hałas, na który składają się turkoty licznych wozów, dźwięki dzwonów,|za oknem na ulicy rozlegał się nieokreślony hałas na który składają się turkoty licznych wozów dźwięki dzwonów
lalka_2_16_f000092|głosy ludzkie, trąbki, wystrzały i Bóg nie wie co, a wszystko przytłumione i odległe.|głosy ludzkie trąbki wystrzały i Bóg nie wie co a wszystko przytłumione i odległe.
lalka_2_16_f000093|Potem przywidziało mu się, że jakiś cień zagląda do jego okna, a później, że po długim kurytarzu, ktoś chodzi ode drzwi do drzwi, puka i pyta:|Potem przywidziało mu się że jakiś cień zagląda do jego okna a później że po długim kurytarzu ktoś chodzi ode drzwi do drzwi puka i pyta:
lalka_2_16_f000094|Czy niema go tu?|Czy niema go tu?
lalka_2_16_f000095|Istotnie ktoś chodził, pukał i nawet zapukał do jego drzwi; lecz, nie odebrawszy odpowiedzi, poszedł dalej.|Istotnie ktoś chodził pukał i nawet zapukał do jego drzwi; lecz nie odebrawszy odpowiedzi poszedł dalej.
lalka_2_16_f000096|Nie znajdzie mnie! nie znajdzie.|Nie znajdzie mnie! nie znajdzie.
lalka_2_16_f000097|- myślał Wokulski.|- myślał Wokulski.
lalka_2_16_f000098|Wtem otworzył oczy i włosy powstały mu na głowie. Naprzeciw siebie zobaczył taki sam pokój jak jego, takie samo łóżko z baldachimem, a na niem...|Wtem otworzył oczy i włosy powstały mu na głowie. Naprzeciw siebie zobaczył taki sam pokój jak jego takie samo łóżko z baldachimem a na niem...
lalka_2_16_f000099|siebie! Byłoto jedno z najsilniejszych wstrząśnień, jakich doznał w życiu, sprawdziwszy własnemi oczyma,|siebie! Byłoto jedno z najsilniejszych wstrząśnień jakich doznał w życiu sprawdziwszy własnemi oczyma
lalka_2_16_f000100|że tu, gdzie uważał się za zupełnie samotnego, towarzyszy mu nieodstępny świadek... on sam!|że tu gdzie uważał się za zupełnie samotnego towarzyszy mu nieodstępny świadek... on sam!
lalka_2_16_f000101|Co za oryginalne szpiegowanie... - mruknął. - Głupie te szafy z lustrami.|Co za oryginalne szpiegowanie... - mruknął. - Głupie te szafy z lustrami.
lalka_2_16_f000102|Zerwał się z łóżka, jego sobotwór zerwał się równie szybko.|Zerwał się z łóżka jego sobotwór zerwał się równie szybko.
lalka_2_16_f000103|Pobiegł do okna - tamten także. Otworzył gorączkowo walizkę, ażeby przebrać się i tamten również zaczął przebierać się, widocznie z zamiarem wyjścia na miasto.|Pobiegł do okna - tamten także. Otworzył gorączkowo walizkę ażeby przebrać się i tamten również zaczął przebierać się widocznie z zamiarem wyjścia na miasto.
lalka_2_16_f000104|Wokulski czuł, że musi uciec z tego pokoju. Widmo, przed którem wyjechał z Warszawy, było już tu i stało za progiem.|Wokulski czuł że musi uciec z tego pokoju. Widmo przed którem wyjechał z Warszawy było już tu i stało za progiem.
lalka_2_16_f000105|Umył się, włożył czystą bieliznę, przebrał się. Było ledwie wpół do pierwszej.|Umył się włożył czystą bieliznę przebrał się. Było ledwie wpół do pierwszej.
lalka_2_16_f000106|Trzy i pół godzin!|Trzy i pół godzin!
lalka_2_16_f000107|- pomyślał. -|- pomyślał. -
lalka_2_16_f000108|Coś trzeba z niemi zrobić.|Coś trzeba z niemi zrobić.
lalka_2_16_f000109|Ledwie otworzył drzwi, już znalazł się służący z frazesem:|Ledwie otworzył drzwi już znalazł się służący z frazesem:
lalka_2_16_f000110|Monsieur?|Monsieur?
lalka_2_16_f000111|Wokulski kazał zaprowadzić się do schodów, dał służącemu franka i zbiegł z trzeciego piętra nadół, jak człowiek, którego ścigają.|Wokulski kazał zaprowadzić się do schodów dał służącemu franka i zbiegł z trzeciego piętra nadół jak człowiek którego ścigają.
lalka_2_16_f000112|Wyszedł przed bramę i zatrzymał się na chodniku. Ulica szeroka, wysadzona drzewami.|Wyszedł przed bramę i zatrzymał się na chodniku. Ulica szeroka wysadzona drzewami.
lalka_2_16_f000113|W jednej chwili przelatuje około niego ze sześć powozów i żółty omnibus naładowany podróżnymi wewnątrz i na dachu.|W jednej chwili przelatuje około niego ze sześć powozów i żółty omnibus naładowany podróżnymi wewnątrz i na dachu.
lalka_2_16_f000114|Naprawo, gdzieś bardzo daleko, widać plac, nalewo - pod hotelem - niedużą markizę, a pod nią gromadę mężczyzn i kobiet,|Naprawo gdzieś bardzo daleko widać plac nalewo - pod hotelem - niedużą markizę a pod nią gromadę mężczyzn i kobiet
lalka_2_16_f000115|którzy siedzą przy okrągłych stoliczkach, prawie na chodniku i piją kawę.|którzy siedzą przy okrągłych stoliczkach prawie na chodniku i piją kawę.
lalka_2_16_f000116|Panowie są jak wydekoltowani, mają w dziurkach od guzików kwiaty lub wstążeczki i zakładają nogi na kolana akurat tak wysoko, jak przystoi w sąsiedztwie pięciopiętrowych domów;|Panowie są jak wydekoltowani mają w dziurkach od guzików kwiaty lub wstążeczki i zakładają nogi na kolana akurat tak wysoko jak przystoi w sąsiedztwie pięciopiętrowych domów;
lalka_2_16_f000117|kobiety szczupłe, małe, śniade, z ognistemi spojrzeniami, lecz skromnie ubrane.|kobiety szczupłe małe śniade z ognistemi spojrzeniami lecz skromnie ubrane.
lalka_2_16_f000118|Wokulski idzie wlewo i za węgłem tego samego hotelu, w tymże samym hotelu widzi drugą markizę i drugą gromadę ludzi pijących coś, obok chodnika.|Wokulski idzie wlewo i za węgłem tego samego hotelu w tymże samym hotelu widzi drugą markizę i drugą gromadę ludzi pijących coś obok chodnika.
lalka_2_16_f000119|Tu siedzi ze sto osób, jeżeli niewięcej; panowie mają miny impertynentów, damy są ożywione, przyjacielskie i pełne prostoty.|Tu siedzi ze sto osób jeżeli niewięcej; panowie mają miny impertynentów damy są ożywione przyjacielskie i pełne prostoty.
lalka_2_16_f000120|Powozy jedno i dwukonne toczą się w dalszym ciągu, gromady pieszych pędzą cochwila w jednę i drugą stronę,|Powozy jedno i dwukonne toczą się w dalszym ciągu gromady pieszych pędzą cochwila w jednę i drugą stronę
lalka_2_16_f000121|przesuwa się żółty i zielony omnibus, tym zaś przecinają drogę omnibusy brunatne, wszystkie napełnione wewnątrz, wszystkie obładowane podróżnymi na dachach.|przesuwa się żółty i zielony omnibus tym zaś przecinają drogę omnibusy brunatne wszystkie napełnione wewnątrz wszystkie obładowane podróżnymi na dachach.
lalka_2_16_f000122|Wokulski znajduje się na środku placu, z którego rozchodzi się siedm ulic.|Wokulski znajduje się na środku placu z którego rozchodzi się siedm ulic.
lalka_2_16_f000123|Liczy, raz i drugi - siedm ulic... Gdzie iść? Chyba w kierunku drzew... Akurat dwie ulice, przecinające się pod kątem prostym, są zadrzewione.|Liczy raz i drugi - siedm ulic... Gdzie iść? Chyba w kierunku drzew... Akurat dwie ulice przecinające się pod kątem prostym są zadrzewione.
lalka_2_16_f000124|Pójdę w kierunku ściany hotelu|Pójdę w kierunku ściany hotelu
lalka_2_16_f000125|- myśli Wokulski.|- myśli Wokulski.
lalka_2_16_f000126|Robi półobrotu wlewo i staje zdumiony.|Robi półobrotu wlewo i staje zdumiony.
lalka_2_16_f000127|Wgłębi nalewo widać jakiś potężny gmach.|Wgłębi nalewo widać jakiś potężny gmach.
lalka_2_16_f000128|Na parterze - szereg arkad i posągów, na pierwszem piętrze olbrzymie kolumny kamienne i nieco mniejsze marmurowe, ze złoconemi kapitelami.|Na parterze - szereg arkad i posągów na pierwszem piętrze olbrzymie kolumny kamienne i nieco mniejsze marmurowe ze złoconemi kapitelami.
lalka_2_16_f000129|Na wysokości dachu w kątach orły i złocone posągi, unoszące się nad złoconemi figurami rozhukanych koni.|Na wysokości dachu w kątach orły i złocone posągi unoszące się nad złoconemi figurami rozhukanych koni.
lalka_2_16_f000130|Dach bliżej płaski, dalej kopuła zakończona koroną, a jeszcze dalej - dach trójkątny, również dźwigający na szczycie grupę figur.|Dach bliżej płaski dalej kopuła zakończona koroną a jeszcze dalej - dach trójkątny również dźwigający na szczycie grupę figur.
lalka_2_16_f000131|Wszędzie marmur, bronz, złoto, wszędzie kolumny, posągi i medaliony.|Wszędzie marmur bronz złoto wszędzie kolumny posągi i medaliony.
lalka_2_16_f000132|Opera?|Opera?
lalka_2_16_f000133|- myśli Wokulski. -|- myśli Wokulski. -
lalka_2_16_f000134|Ależ tu jest więcej marmurów i bronzów, aniżeli w całej Warszawie!|Ależ tu jest więcej marmurów i bronzów aniżeli w całej Warszawie!
lalka_2_16_f000135|Przypomina sobie swój sklep, ozdobę miasta, rumieni się i idzie dalej. Czuje, że Paryż na pierwszym kroku przytłoczył go i - jest kontent.|Przypomina sobie swój sklep ozdobę miasta rumieni się i idzie dalej. Czuje że Paryż na pierwszym kroku przytłoczył go i - jest kontent.
lalka_2_16_f000136|Ruch powozów, omnibusów i ludzi pieszych zwiększa się w zastraszający sposób.|Ruch powozów omnibusów i ludzi pieszych zwiększa się w zastraszający sposób.
lalka_2_16_f000137|Cokilka kroków werendy, okrągłe stoliki, ludzie siedzący przy chodnikach.|Cokilka kroków werendy okrągłe stoliki ludzie siedzący przy chodnikach.
lalka_2_16_f000138|Za powozem, który ma ztyłu lokaja, toczy się wózek, ciągniony przez psa, mija go omnibus, potem dwaj ludzie z tragami,|Za powozem który ma ztyłu lokaja toczy się wózek ciągniony przez psa mija go omnibus potem dwaj ludzie z tragami
lalka_2_16_f000139|potem większy wóz na dwu kołach, potem dama i mężczyzna konno i znowu nieskończony szereg powozów.|potem większy wóz na dwu kołach potem dama i mężczyzna konno i znowu nieskończony szereg powozów.
lalka_2_16_f000140|Bliżej chodnika - wózek z bukietami, drugi owocami, naprzeciw pasztetnik, roznosiciel gazet, handlarz starzyzny, szlifierz, roznosiciel książek.|Bliżej chodnika - wózek z bukietami drugi owocami naprzeciw pasztetnik roznosiciel gazet handlarz starzyzny szlifierz roznosiciel książek.
lalka_2_16_f000141|M'rchand d'habits.|Mrchand dhabits.
lalka_2_16_f000142|Figaro!|Figaro!
lalka_2_16_f000143|Exposition!|Exposition!
lalka_2_16_f000144|Guide Parisien! trois francs! trois francs!|Guide Parisien! trois francs! trois francs!
lalka_2_16_f000145|Ktoś wsuwa Wokulskiemu książkę w rękę, on płaci trzy franki i przechodzi na drugą stronę ulicy.|Ktoś wsuwa Wokulskiemu książkę w rękę on płaci trzy franki i przechodzi na drugą stronę ulicy.
lalka_2_16_f000146|Idzie szybko, lecz pomimo to widzi, że wszystko go wyprzedza: powozy i piesi.|Idzie szybko lecz pomimo to widzi że wszystko go wyprzedza: powozy i piesi.
lalka_2_16_f000147|Oczywiście, jestto jakiś olbrzymi wyścig; więc przyśpiesza kroku, a choć jeszcze nikogo nie wyścignął, już zwraca na siebie powszechną uwagę.|Oczywiście jestto jakiś olbrzymi wyścig; więc przyśpiesza kroku a choć jeszcze nikogo nie wyścignął już zwraca na siebie powszechną uwagę.
lalka_2_16_f000148|Jego przedewszystkiem atakują roznosiciele gazet i książek, na niego patrzą kobiety, z niego w drwiący sposób uśmiechają się mężczyźni.|Jego przedewszystkiem atakują roznosiciele gazet i książek na niego patrzą kobiety z niego w drwiący sposób uśmiechają się mężczyźni.
lalka_2_16_f000149|Czuje, że on, Wokulski, który tyle hałasu robił w Warszawie, tutaj jest onieśmielony jak dziecko i...|Czuje że on Wokulski który tyle hałasu robił w Warszawie tutaj jest onieśmielony jak dziecko i...
lalka_2_16_f000150|dobrze mu z tem... Ach, jakże pragnąłby znowu zostać dzieckiem z owej epoki, kiedyto jego ojciec naradzał się z przyjaciółmi: czy go oddać do kupca, czy do szkół?|dobrze mu z tem... Ach jakże pragnąłby znowu zostać dzieckiem z owej epoki kiedyto jego ojciec naradzał się z przyjaciółmi: czy go oddać do kupca czy do szkół?
lalka_2_16_f000151|W tem miejscu ulica nieco zgina się naprawo, Wokulski pierwszy raz spostrzega dom trzypiętrowy i napełnia go jakaś rzewność.|W tem miejscu ulica nieco zgina się naprawo Wokulski pierwszy raz spostrzega dom trzypiętrowy i napełnia go jakaś rzewność.
lalka_2_16_f000152|Dom trzypiętrowy, między pięciopiętrowemi! cóżto za miła niespodzianka.|Dom trzypiętrowy między pięciopiętrowemi! cóżto za miła niespodzianka.
lalka_2_16_f000153|Nagle - mija go powóz z grumem na koźle, wiozący dwie kobiety. Jedna całkiem mu nieznana, druga.|Nagle - mija go powóz z grumem na koźle wiozący dwie kobiety. Jedna całkiem mu nieznana druga.
lalka_2_16_f000154|Ona? - szepce Wokulski. - Niepodobieństwo!|Ona? - szepce Wokulski. - Niepodobieństwo!
lalka_2_16_f000155|Mimoto czuje, że siły go opuszczają. Na szczęście jest obok kawiarnia.|Mimoto czuje że siły go opuszczają. Na szczęście jest obok kawiarnia.
lalka_2_16_f000156|Rzuca się na krzesło, tuż przy chodniku; zjawia się garson, o coś pyta, a następnie przynosi mazagran.|Rzuca się na krzesło tuż przy chodniku; zjawia się garson o coś pyta a następnie przynosi mazagran.
lalka_2_16_f000157|Jednocześnie jakaś kwiaciarka przypina mu różę do tużurka, a roznosiciel gazet kładzie przed nim Figaro.|Jednocześnie jakaś kwiaciarka przypina mu różę do tużurka a roznosiciel gazet kładzie przed nim Figaro.
lalka_2_16_f000158|Wokulski tej rzuca dziesięć franków, temu franka, pije mazagran i zaczyna czytać:|Wokulski tej rzuca dziesięć franków temu franka pije mazagran i zaczyna czytać:
lalka_2_16_f000159|Jej K. M. Królowa Izabela.|Jej K. M. Królowa Izabela.
lalka_2_16_f000160|Mnie gazetę i chowa ją do kieszeni, niedokończywszy mazagranu, płaci za niego i - wstaje od stołu.|Mnie gazetę i chowa ją do kieszeni niedokończywszy mazagranu płaci za niego i - wstaje od stołu.
lalka_2_16_f000161|Garson patrzy zpod oka, dwaj goście, bawiący się cienkiemi laseczkami, zakładają nogi jeszcze wyżej, a jeden z nich impertynencko przypatruje mu się przez monokol.|Garson patrzy zpod oka dwaj goście bawiący się cienkiemi laseczkami zakładają nogi jeszcze wyżej a jeden z nich impertynencko przypatruje mu się przez monokol.
lalka_2_16_f000162|Gdybym tego franta uderzył w twarz? - myśli Wokulski. - Jutro pojedynek i może zabiłby mnie... Ale gdybym ja jego zabił?|Gdybym tego franta uderzył w twarz? - myśli Wokulski. - Jutro pojedynek i może zabiłby mnie... Ale gdybym ja jego zabił?
lalka_2_16_f000163|Przeszedł około franta i spojrzał mu w oczy. Elegantowi monokl spadł na kamizelkę i opuściła go ochota do półuśmieszków.|Przeszedł około franta i spojrzał mu w oczy. Elegantowi monokl spadł na kamizelkę i opuściła go ochota do półuśmieszków.
lalka_2_16_f000164|Wokulski idzie dalej i z największą uwagą przypatruje się kamienicom.|Wokulski idzie dalej i z największą uwagą przypatruje się kamienicom.
lalka_2_16_f000165|Cóż tu za sklepy! Najlichszy z nich lepiej wygląda, aniżeli jego, który jest najpiękniejszym w Warszawie.|Cóż tu za sklepy! Najlichszy z nich lepiej wygląda aniżeli jego który jest najpiękniejszym w Warszawie.
lalka_2_16_f000166|Domy ciosowe; prawie na każdem piętrze wielkie balkony, albo balustrady biegnące wzdłuż całego piętra.|Domy ciosowe; prawie na każdem piętrze wielkie balkony albo balustrady biegnące wzdłuż całego piętra.
lalka_2_16_f000167|Ten Paryż wygląda, jakby wszyscy mieszkańcy czuli potrzebę ciągłego komunikowania się, jeżeli nie w kawiarniach, to zapomocą ganków|Ten Paryż wygląda jakby wszyscy mieszkańcy czuli potrzebę ciągłego komunikowania się jeżeli nie w kawiarniach to zapomocą ganków
lalka_2_16_f000168|- myśli Wokulski.|- myśli Wokulski.
lalka_2_16_f000169|I dachy są jakieś oryginalne, wysokie, obładowane kominami, najeżone blaszanemi kominkami i szpicami.|I dachy są jakieś oryginalne wysokie obładowane kominami najeżone blaszanemi kominkami i szpicami.
lalka_2_16_f000170|I na ulicach cokrok wyrasta, albo drzewo, albo latarnia, albo kiosk, albo kolumna zakończona kulą.|I na ulicach cokrok wyrasta albo drzewo albo latarnia albo kiosk albo kolumna zakończona kulą.
lalka_2_16_f000171|Zycie kipi tu tak silnie, że, nie mogąc zużyć się w nieskończonym ruchu powozów, w szybkim biegu ludzi,|Zycie kipi tu tak silnie że nie mogąc zużyć się w nieskończonym ruchu powozów w szybkim biegu ludzi
lalka_2_16_f000172|w dźwiganiu pięciopiętrowych domów z kamienia, jeszcze wytryskuje ze ścian w formie posągów lub płaskorzeźb,|w dźwiganiu pięciopiętrowych domów z kamienia jeszcze wytryskuje ze ścian w formie posągów lub płaskorzeźb
lalka_2_16_f000173|z dachów w formie strzał, i z ulic w postaci nieprzeliczonych kiosków.|z dachów w formie strzał i z ulic w postaci nieprzeliczonych kiosków.
lalka_2_16_f000174|Wokulskiemu zdaje się, że, wydobyty z martwej wody, wpadł nagle w ukrop, który|Wokulskiemu zdaje się że wydobyty z martwej wody wpadł nagle w ukrop który
lalka_2_16_f000175|burzy się i szumi i pryska.|burzy się i szumi i pryska.
lalka_2_16_f000176|On, człowiek dojrzały i w swoim klimacie gwałtowny, poczuł się tu, jak flegmatyczne dziecko, któremu imponuje wszystko i wszyscy.|On człowiek dojrzały i w swoim klimacie gwałtowny poczuł się tu jak flegmatyczne dziecko któremu imponuje wszystko i wszyscy.
lalka_2_16_f000177|Tymczasem dokoła niego wciąż|Tymczasem dokoła niego wciąż
lalka_2_16_f000178|wre i kipi i szumi i pryska|wre i kipi i szumi i pryska
lalka_2_16_f000179|nie widać końca tłumów, ani powozów, ani drzew, ani olśniewających wystaw, ani nawet samej ulicy.|nie widać końca tłumów ani powozów ani drzew ani olśniewających wystaw ani nawet samej ulicy.
lalka_2_16_f000180|Wokulski stopniowo zapada w odurzenie. Przestaje słyszeć hałaśliwą rozmowę przechodniów, potem głuchnie na krzyki handlarzy ulicznych, wreszcie na turkot kół.|Wokulski stopniowo zapada w odurzenie. Przestaje słyszeć hałaśliwą rozmowę przechodniów potem głuchnie na krzyki handlarzy ulicznych wreszcie na turkot kół.
lalka_2_16_f000181|Potem zdaje mu się, że już gdzieś widział takie domy, taki ruch, takie kawiarnie;|Potem zdaje mu się że już gdzieś widział takie domy taki ruch takie kawiarnie;
lalka_2_16_f000182|później myśli, że ostatecznie jestto nic wielkiego, a nareszcie budzą się w nim zdolności krytyczne, i mówi sobie,|później myśli że ostatecznie jestto nic wielkiego a nareszcie budzą się w nim zdolności krytyczne i mówi sobie
lalka_2_16_f000183|że - jakkolwiek w Paryżu częściej można słyszeć język francuski, aniżeli w Warszawie, to jednak akcent tutejszy jest gorszy i wymowa mniej wyraźna.|że - jakkolwiek w Paryżu częściej można słyszeć język francuski aniżeli w Warszawie to jednak akcent tutejszy jest gorszy i wymowa mniej wyraźna.
lalka_2_16_f000184|Tak rozważając, zwalnia kroku i zaczyna nie ustępywać z drogi.|Tak rozważając zwalnia kroku i zaczyna nie ustępywać z drogi.
lalka_2_16_f000185|I kiedy myśli, że dopiero teraz francuzi zaczną go wytykać palcami, spostrzega ze zdziwieniem, że już coraz mniej zwracają na niego uwagę.|I kiedy myśli że dopiero teraz francuzi zaczną go wytykać palcami spostrzega ze zdziwieniem że już coraz mniej zwracają na niego uwagę.
lalka_2_16_f000186|Po jednogodzinnym pobycie na ulicy, stał się zwyczajną kroplą paryskiego oceanu.|Po jednogodzinnym pobycie na ulicy stał się zwyczajną kroplą paryskiego oceanu.
lalka_2_16_f000187|To i lepiej! - mruczy.|To i lepiej! - mruczy.
lalka_2_16_f000188|Do tej chwili cokilkadziesiąt kroków, naprawo i nalewo, rozsuwały się domy i widać było jakąś boczną ulicę.|Do tej chwili cokilkadziesiąt kroków naprawo i nalewo rozsuwały się domy i widać było jakąś boczną ulicę.
lalka_2_16_f000189|Teraz jednolita ściana domów ciągnie się przez kilkaset kroków.|Teraz jednolita ściana domów ciągnie się przez kilkaset kroków.
lalka_2_16_f000190|Zaniepokojony pośpiesza i ku wielkiemu zadowoleniu, dociera nareszcie do bocznej ulicy; skręca trochę naprawo i czyta: Rue St. Fiacre.|Zaniepokojony pośpiesza i ku wielkiemu zadowoleniu dociera nareszcie do bocznej ulicy; skręca trochę naprawo i czyta: Rue St. Fiacre.
lalka_2_16_f000191|Uśmiecha się, przychodzi mu bowiem na myśl jakiś romans Pawła Kocka. Znowu boczna ulica i znowu czyta: Rue du Sentier.|Uśmiecha się przychodzi mu bowiem na myśl jakiś romans Pawła Kocka. Znowu boczna ulica i znowu czyta: Rue du Sentier.
lalka_2_16_f000192|Nie znam - mówi do siebie.|Nie znam - mówi do siebie.
lalka_2_16_f000193|O kilkadziesiąt kroków dalej widzi: Rue Poissoniere, która mu przypomina jakąś sprawę kryminalną, a potem cały szereg krótkich uliczek wychodzących naprzeciw teatru Gymnase.|O kilkadziesiąt kroków dalej widzi: Rue Poissoniere która mu przypomina jakąś sprawę kryminalną a potem cały szereg krótkich uliczek wychodzących naprzeciw teatru Gymnase.
lalka_2_16_f000194|Cóż to znowu?- myśli, spostrzegłszy nalewo ogromny budynek, niepodobny do żadnego z tych, jakie znał dotychczas.|Cóż to znowu?- myśli spostrzegłszy nalewo ogromny budynek niepodobny do żadnego z tych jakie znał dotychczas.
lalka_2_16_f000195|Jestto olbrzymi prostokąt z kamienia, a w nim brama z półkolistem sklepieniem.|Jestto olbrzymi prostokąt z kamienia a w nim brama z półkolistem sklepieniem.
lalka_2_16_f000196|Oczywiście brama, która stoi na przecięciu się dwu ulic.|Oczywiście brama która stoi na przecięciu się dwu ulic.
lalka_2_16_f000197|Obok niej budka, gdzie zatrzymują się omnibusy; prawie naprzeciw kawiarnia i chodnik oddzielony od środka ulicy krótką, żelazną balustradą.|Obok niej budka gdzie zatrzymują się omnibusy; prawie naprzeciw kawiarnia i chodnik oddzielony od środka ulicy krótką żelazną balustradą.
lalka_2_16_f000198|O paręset kroków dalej druga podobna brama, a między niemi szeroka ulica ciągnąca się naprawo i lewo.|O paręset kroków dalej druga podobna brama a między niemi szeroka ulica ciągnąca się naprawo i lewo.
lalka_2_16_f000199|Ruch nagle potęguje się; tędy bowiem przejeżdżają aż trzy gatunki omnibusów i tramwaje.|Ruch nagle potęguje się; tędy bowiem przejeżdżają aż trzy gatunki omnibusów i tramwaje.
lalka_2_16_f000200|Wokulski spogląda naprawo i znowu widzi dwa szeregi latarń, dwa szeregi kiosków, dwa szeregi drzew i dwa szeregi pięciopiętrowych domów,|Wokulski spogląda naprawo i znowu widzi dwa szeregi latarń dwa szeregi kiosków dwa szeregi drzew i dwa szeregi pięciopiętrowych domów
lalka_2_16_f000201|ciągnących się na długość Krakowskiego Przedmieścia i Nowego Świata.|ciągnących się na długość Krakowskiego Przedmieścia i Nowego Świata.
lalka_2_16_f000202|Końca ich nie widać, tylko gdzieś het, daleko, ulica podnosi się ku niebu, dachy zniżają się ku ziemi i wszystko znika.|Końca ich nie widać tylko gdzieś het daleko ulica podnosi się ku niebu dachy zniżają się ku ziemi i wszystko znika.
lalka_2_16_f000203|No, choćbym miał zbłądzić i spóźnić się na sesyą, pójdę w tamtę stronę!|No choćbym miał zbłądzić i spóźnić się na sesyą pójdę w tamtę stronę!
lalka_2_16_f000204|- myśli.|- myśli.
lalka_2_16_f000205|Wtem, na skręcie wymija go młoda kobieta, której wzrost i ruchy robią na Wokulskim silne wrażenie.|Wtem na skręcie wymija go młoda kobieta której wzrost i ruchy robią na Wokulskim silne wrażenie.
lalka_2_16_f000206|Ona? Nie... Najprzód ona została w Warszawie, a powtóre - spotykam już drugą taką... Złudzenia.|Ona? Nie... Najprzód ona została w Warszawie a powtóre - spotykam już drugą taką... Złudzenia.
lalka_2_16_f000207|Ale siły opuszczają go, a nawet pamięć. Stoi na przecięciu się dwu ulic, wysadzonych drzewami i absolutnie nie wie, skąd przyszedł?|Ale siły opuszczają go a nawet pamięć. Stoi na przecięciu się dwu ulic wysadzonych drzewami i absolutnie nie wie skąd przyszedł?
lalka_2_16_f000208|Ogarnia go strach paniczny, znany ludziom, którzy zbłądzili w lesie; szczęściem nadjeżdża jednokonka, której furman uśmiecha się do niego w sposób bardzo przyjacielski.|Ogarnia go strach paniczny znany ludziom którzy zbłądzili w lesie; szczęściem nadjeżdża jednokonka której furman uśmiecha się do niego w sposób bardzo przyjacielski.
lalka_2_16_f000209|Grand Hôtel! - mówi Wokulski, siadając. Dorożkarz dotyka ręką kapelusza i woła:|Grand Hotel! - mówi Wokulski siadając. Dorożkarz dotyka ręką kapelusza i woła:
lalka_2_16_f000210|Naprzód Lizetka! Ten szlachetny cudzoziemiec postawi ci za fatygę kwartę piwa.|Naprzód Lizetka! Ten szlachetny cudzoziemiec postawi ci za fatygę kwartę piwa.
lalka_2_16_f000211|Następnie, odwróciwszy się bokiem do Wokulskiego, mówi:|Następnie odwróciwszy się bokiem do Wokulskiego mówi:
lalka_2_16_f000212|Jedno z dwojga, obywatelu: albo dopiero dziś przyjechaliście, albo jesteście po dobrem śniadaniu?|Jedno z dwojga obywatelu: albo dopiero dziś przyjechaliście albo jesteście po dobrem śniadaniu?
